category_name,category_id,product_name,brand,serving_size,total_weight,kcal,carbohydrate_g,sugar_g,fat_g,saturated_fat_g,trans_fat_g,protein_g,sodium_mg,sugar_alcohol_g,allulose_g,erythritol_g
음료,5,슈가로로 코코제로 요구르트,주식회사와우에프앤비,200ml,340.000mL,0,3.53,0,0,0,0,0,12,,,3.53
음료,5,슈가로로 코코제로 파인애플,주식회사 퓨럽2공장,200ml,340.000mL,2,4.12,0.59,0,0,0,0,12,,,3.53
음료,5,슈가로로 코코제로리치,주식회사와우에프앤비,200ml,340.000mL,2,4.12,0.29,0,0,0,0,10,,,3.53
음료,5,슈가로로 코코제로포도,주식회사와우에프앤비,200ml,340.000mL,4,4.41,0.29,0,0,0,0,12,,,3.53
음료,5,실론티레몬제로,롯데칠성음료㈜,200ml,500.000mL,2,1.67,0.02,0.03,0,0,0.05,2,,1.44,
음료,5,아이스티제로 복숭아,오케이에프음료 주식회사,200ml,500.000mL,7,2.2,0,0,0,0,0,7,,,
음료,5,아이스티제로 자몽,오케이에프음료 주식회사,200ml,500.000mL,7,2.2,0,0,0,0,0,7,,,
음료,5,아침햇살 제로슈가,동원시스템즈㈜,200ml,500.000mL,27,6.12,0.36,1.18,1.18,0,0.14,12,,,10
음료,5,알로에베라킹 제로,오케이에프음료 주식회사,200ml,500.000mL,1,1.8,0,0,0,0,0,6,,,1.58
음료,5,야쿠르트 1971 제로,연세대학교 연세유업,100ml,190.000mL,1,5.26,0,0,0,0,0,24,,,5.11
음료,5,야쿠르트 콤부차 제로,㈜삼양패키징,200ml,335.000mL,2,0.81,0,0.04,0.02,0,0.03,4,,0.55,
음료,5,야쿠르트 콤부차 제로 라임맛,㈜삼양패키징,200ml,335.000mL,1,0.68,0,0.02,0,0,0.04,1,,0.55,
음료,5,양반 매실 제로,주식회사 동천수 상주공장,200ml,340.000mL,3,1.18,0.59,0,0,0,0,12,,0.35,
음료,5,양반 오미자 제로,주식회사 동천수 상주공장,200ml,340.000mL,3,0.88,0.77,0,0,0,0,7,,0.12,
음료,5,양반 유자 제로,주식회사 동천수 상주공장,200ml,340.000mL,3,1.18,0.59,0,0,0,0,15,,0.47,
음료,5,에버데이 제로,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.25,0,0.01,0,0,0.04,31,,0.02,
음료,5,에버데이 제로 릴렉스,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.06,0,0.01,0,0,0.08,4,,,
음료,5,에버데이 제로 비타민,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.23,0,0.03,0,0,0.06,19,,0.07,
음료,5,에버데이 제로 에너지,㈜삼양패키징 광혜원 공장,200ml,500.000mL,1,0.22,0,0.01,0,0,0.06,13,,,
음료,5,오늘좋은 아샷추 망고 제로,태웅식품(주),240ml,"1,500.000mL",4,1,0,0,0,0,0,10,,,
